riotIdGameName,games_played,win_y,challenges.damagePerMinute,challenges.dodgeSkillShotsSmallWindow,challenges.goldPerMinute,challenges.kda,challenges.killParticipation,challenges.laneMinionsFirst10Minutes,challenges.quickSoloKills,challenges.saveAllyFromDeath,challenges.skillshotsDodged,challenges.survivedSingleDigitHpCount,challenges.teamDamagePercentage,challenges.visionScorePerMinute,assists,assistMePings,championId,damageDealtToBuildings,damageDealtToObjectives,dangerPings,enemyMissingPings,kills,deaths,dragonKills,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.laningPhaseGoldExpAdvantage,champExperience,goldEarned,neutralMinionsKilled,totalAllyJungleMinionsKilled,totalEnemyJungleMinionsKilled,totalMinionsKilled,challenges.laneMinionsFirst10Minutes.1,challenges.maxCsAdvantageOnLaneOpponent,gameDuration,challenges.turretPlatesTaken,challenges.soloKills,challenges.killParticipation.1,challenges.kda.1,challenges.damageTakenOnTeamPercentage,totalTimeSpentDead,champLevel,challenges.maxLevelLeadLaneOpponent,totalHealsOnTeammates,challenges.effectiveHealAndShielding,totalTimeCCDealt,challenges.wardTakedownsBefore20M,junglecsPerMinute,csPerMinute,timeDead,role
 H u ,1,0.0,490.8961844658738,2.0,584.4453637524174,6.666666666666667,0.6666666666666666,10.0,0.0,0.0,86.0,0.0,0.1164954179925662,0.0,16.0,0.0,23.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,,,15359.0,9738.0,0.0,0.0,0.0,16.0,10.0,,999.0,0.0,0.0,0.6666666666666666,6.666666666666667,0.1690474923246541,70.0,16.0,,0.0,0.0,73.0,0.0,0.0,0.9609609609609612,0.07007007007007,aram
 Heiopei III,1,0.0,1914.2292693253848,0.0,601.0750494504051,2.4,0.6206896551724138,26.0,0.0,0.0,18.0,0.0,0.2128284003179405,0.0,31.0,0.0,711.0,631.0,631.0,0.0,0.0,5.0,15.0,0.0,,,20276.0,13509.0,0.0,0.0,0.0,53.0,26.0,,1348.0,0.0,1.0,0.6206896551724138,2.4,0.1853535620132065,388.0,18.0,,833.0,833.943115234375,381.0,0.0,0.0,2.3590504451038576,0.2878338278931751,aram
 l Parasite l ,1,0.0,1769.9967691241147,0.0,756.8840573239207,3.9,0.7358490566037735,16.0,0.0,0.0,7.0,0.0,0.2162689479864964,0.0,19.0,0.0,202.0,1211.0,1211.0,0.0,0.0,20.0,10.0,0.0,,,21658.0,16646.0,0.0,0.0,0.0,43.0,16.0,,1319.0,0.0,0.0,0.7358490566037735,3.9,0.140943577283048,241.0,18.0,,0.0,0.0,172.0,0.0,0.0,1.9560272934040936,0.1827141774071266,aram
000000000000,1,100.0,996.435349289031,15.0,594.6192612945434,3.1,0.6458333333333334,10.0,0.0,0.0,88.0,0.0,0.1476159764014296,0.0,25.0,0.0,7.0,2798.0,2798.0,0.0,0.0,6.0,10.0,0.0,,,17106.0,11879.0,0.0,0.0,0.0,20.0,10.0,,1198.0,0.0,0.0,0.6458333333333334,3.1,0.1916298180703591,255.0,17.0,,0.0,0.0,182.0,0.0,0.0,1.001669449081803,0.2128547579298831,aram
007,1,100.0,1956.2883299269265,0.0,698.5753387175926,12.5,0.704225352112676,16.0,0.0,1.0,3.0,1.0,0.203689778216369,0.0,34.0,0.0,17.0,1055.0,1055.0,0.0,0.0,16.0,4.0,0.0,,,24117.0,16023.0,0.0,0.0,0.0,39.0,16.0,,1376.0,0.0,0.0,0.704225352112676,12.5,0.1215864789837751,138.0,18.0,,1467.0,1467.0,468.0,0.0,0.0,1.7005813953488371,0.1002906976744186,aram
00MFSS00,1,0.0,1728.1264696544615,0.0,661.0333059851939,3.2222222222222223,0.8529411764705882,21.0,0.0,0.0,25.0,0.0,0.2285071448039079,0.0,23.0,0.0,20.0,162.0,162.0,0.0,0.0,6.0,9.0,0.0,,,12842.0,10382.0,0.0,0.0,0.0,36.0,21.0,,941.0,0.0,1.0,0.8529411764705882,3.2222222222222223,0.2890495329197323,186.0,14.0,,551.0,551.0999755859375,154.0,0.0,0.0,2.2954303931987248,0.1976620616365568,aram
0Discordia88,1,100.0,2015.9157845617792,1.0,740.7357558525425,4.727272727272728,0.8666666666666667,12.0,0.0,0.0,30.0,0.0,0.2462254148821181,0.0,37.0,0.0,147.0,2608.0,2608.0,0.0,0.0,15.0,11.0,0.0,,,18361.0,12719.0,0.0,0.0,0.0,36.0,12.0,,1030.0,0.0,1.0,0.8666666666666667,4.727272727272728,0.1662037598733135,212.0,18.0,,2018.0,5150.82177734375,163.0,0.0,0.0,2.0970873786407767,0.2058252427184466,aram
0Maqix0,1,0.0,1256.765979034269,0.0,588.8852996720086,3.571428571428572,0.5555555555555556,5.0,0.0,0.0,37.0,0.0,0.0984366676496198,0.0,42.0,2.0,53.0,604.0,604.0,0.0,3.0,8.0,14.0,0.0,,,28715.0,15304.0,0.0,0.0,0.0,13.0,5.0,,1559.0,0.0,0.0,0.5555555555555556,3.571428571428572,0.2336002626028979,419.0,18.0,,493.0,493.4292602539063,326.0,0.0,0.0,0.5003207184092366,0.2687620269403464,aram
0kax,1,0.0,455.8410089387805,10.0,696.5093398339515,1.2,0.4,11.0,0.0,0.0,79.0,0.0,0.139876403466875,0.0,3.0,0.0,17.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,,,6494.0,5974.0,0.0,0.0,0.0,11.0,11.0,,514.0,0.0,0.0,0.4,1.2,0.1645185398302088,72.0,10.0,,0.0,0.0,33.0,0.0,0.0,1.284046692607004,0.1400778210116731,aram
0sk0,1,0.0,1197.9183707959169,1.0,686.4257057126457,4.428571428571429,0.6326530612244898,31.0,0.0,0.0,52.0,1.0,0.1901818933123259,0.0,20.0,0.0,518.0,394.0,394.0,0.0,0.0,11.0,7.0,0.0,,,16442.0,12704.0,0.0,0.0,0.0,54.0,31.0,,1110.0,0.0,0.0,0.6326530612244898,4.428571428571429,0.122179705993848,198.0,16.0,,0.0,0.0,197.0,0.0,0.0,2.918918918918919,0.1783783783783784,aram
