,riotIdGameName,games_played,win_y,challenges.damagePerMinute,challenges.dodgeSkillShotsSmallWindow,challenges.goldPerMinute,challenges.kda,challenges.killParticipation,challenges.laneMinionsFirst10Minutes,challenges.quickSoloKills,challenges.saveAllyFromDeath,challenges.skillshotsDodged,challenges.survivedSingleDigitHpCount,challenges.teamDamagePercentage,challenges.visionScorePerMinute,assists,assistMePings,championId,damageDealtToBuildings,damageDealtToObjectives,dangerPings,enemyMissingPings,kills,deaths,dragonKills,challenges.earlyLaningPhaseGoldExpAdvantage,challenges.laningPhaseGoldExpAdvantage,champExperience,goldEarned,neutralMinionsKilled,totalAllyJungleMinionsKilled,totalEnemyJungleMinionsKilled,totalMinionsKilled,challenges.maxCsAdvantageOnLaneOpponent,gameDuration,challenges.turretPlatesTaken,challenges.soloKills,challenges.damageTakenOnTeamPercentage,totalTimeSpentDead,champLevel,challenges.maxLevelLeadLaneOpponent,totalHealsOnTeammates,challenges.effectiveHealAndShielding,totalTimeCCDealt,challenges.wardTakedownsBefore20M,junglecsPerMinute,csPerMinute,timeDead,role,games_played_norm,win_y_norm,challenges.damagePerMinute_norm,challenges.dodgeSkillShotsSmallWindow_norm,challenges.goldPerMinute_norm,challenges.kda_norm,challenges.killParticipation_norm,challenges.laneMinionsFirst10Minutes_norm,challenges.quickSoloKills_norm,challenges.saveAllyFromDeath_norm,challenges.skillshotsDodged_norm,challenges.survivedSingleDigitHpCount_norm,challenges.teamDamagePercentage_norm,challenges.visionScorePerMinute_norm,assists_norm,assistMePings_norm,championId_norm,damageDealtToBuildings_norm,damageDealtToObjectives_norm,dangerPings_norm,enemyMissingPings_norm,kills_norm,deaths_norm,dragonKills_norm,challenges.earlyLaningPhaseGoldExpAdvantage_norm,challenges.laningPhaseGoldExpAdvantage_norm,champExperience_norm,goldEarned_norm,neutralMinionsKilled_norm,totalAllyJungleMinionsKilled_norm,totalEnemyJungleMinionsKilled_norm,totalMinionsKilled_norm,challenges.maxCsAdvantageOnLaneOpponent_norm,gameDuration_norm,challenges.turretPlatesTaken_norm,challenges.soloKills_norm,challenges.damageTakenOnTeamPercentage_norm,totalTimeSpentDead_norm,champLevel_norm,challenges.maxLevelLeadLaneOpponent_norm,totalHealsOnTeammates_norm,challenges.effectiveHealAndShielding_norm,totalTimeCCDealt_norm,challenges.wardTakedownsBefore20M_norm,junglecsPerMinute_norm,csPerMinute_norm,timeDead_norm
0, H u ,1,0.0,490.8961844658738,2.0,584.4453637524174,6.666666666666667,0.6666666666666666,10.0,0.0,0.0,86.0,0.0,0.1164954179925662,0.0,16.0,0.0,23.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,,,15359.0,9738.0,0.0,0.0,0.0,16.0,,999.0,0.0,0.0,0.1690474923246541,70.0,16.0,,0.0,0.0,73.0,0.0,0.0,0.9609609609609612,0.07007007007007,aram,0.0,0.0,0.05323156258005926,0.1111111111111111,0.14961662169866244,0.8623188405797102,0.6324739928630542,0.23684210526315788,0.0,0.0,0.5540540540540541,0.0,0.24825371091013548,0.0,0.2972972972972973,0.0,0.036231884057971016,0.0,0.0,0.0,0.0,0.15,0.06666666666666667,0.0,,,0.3881571793420444,0.3137618274625502,0.0,0.0,0.0,0.14772727272727273,,0.4528130671506352,0.0,0.0,0.3767423215258998,0.08119790795978316,0.7777777777777778,,0.0,0.0,0.14959016393442623,0.0,0.0,0.19447185032002165,0.05051675980759263
1, Heiopei III,1,0.0,1914.2292693253848,0.0,601.0750494504051,2.4,0.6206896551724138,26.0,0.0,0.0,18.0,0.0,0.2128284003179405,0.0,31.0,0.0,711.0,631.0,631.0,0.0,0.0,5.0,15.0,0.0,,,20276.0,13509.0,0.0,0.0,0.0,53.0,,1348.0,0.0,1.0,0.1853535620132065,388.0,18.0,,833.0,833.943115234375,381.0,0.0,0.0,2.3590504451038576,0.2878338278931751,aram,0.0,0.0,0.7320703684991614,0.0,0.20744935123432093,0.21304347826086956,0.5383293999018662,0.6578947368421053,0.0,0.0,0.0945945945945946,0.0,0.6577578360909813,0.0,0.7027027027027027,0.0,1.0,0.16244548679583357,0.16244548679583357,0.0,0.0,0.2,0.8666666666666667,0.0,,,0.5914555160333629,0.6047035187665492,0.0,0.0,0.0,0.5681818181818182,,0.7695099818511797,0.0,0.5,0.4494138751592423,0.8406371647601079,1.0,,0.44135256281194035,0.16072156705657215,0.7807377049180327,0.0,0.0,0.5459338088836235,0.8597739145533341
2, l Parasite l ,1,0.0,1769.9967691241147,0.0,756.8840573239207,3.9,0.7358490566037735,16.0,0.0,0.0,7.0,0.0,0.2162689479864964,0.0,19.0,0.0,202.0,1211.0,1211.0,0.0,0.0,20.0,10.0,0.0,,,21658.0,16646.0,0.0,0.0,0.0,43.0,,1319.0,0.0,0.0,0.140943577283048,241.0,18.0,,0.0,0.0,172.0,0.0,0.0,1.9560272934040936,0.1827141774071266,aram,0.0,0.0,0.6632806949836182,0.0,0.749303260876081,0.44130434782608696,0.7741349605735212,0.39473684210526316,0.0,0.0,0.02027027027027027,0.0,0.6723833405562766,0.0,0.3783783783783784,0.0,0.3605072463768116,0.3117614651501655,0.3117614651501655,0.0,0.0,0.95,0.5333333333333333,0.0,,,0.6485957034052161,0.8467305899998147,0.0,0.0,0.0,0.45454545454545453,,0.7431941923774955,0.0,0.0,0.2514910986216578,0.48957562152222195,1.0,,0.0,0.0,0.3524590163934426,0.0,0.0,0.4446189017554063,0.46912659054219197
3,000000000000,1,100.0,996.435349289031,15.0,594.6192612945434,3.1,0.6458333333333334,10.0,0.0,0.0,88.0,0.0,0.1476159764014296,0.0,25.0,0.0,7.0,2798.0,2798.0,0.0,0.0,6.0,10.0,0.0,,,17106.0,11879.0,0.0,0.0,0.0,20.0,,1198.0,0.0,0.0,0.1916298180703591,255.0,17.0,,0.0,0.0,182.0,0.0,0.0,1.001669449081803,0.2128547579298831,aram,0.0,1.0,0.2943413960016336,0.8333333333333334,0.1849981842587097,0.3195652173913044,0.589814724177516,0.23684210526315788,0.0,0.0,0.5675675675675675,0.0,0.38054481971560034,0.0,0.5405405405405406,0.0,0.007246376811594203,0.7203208748886566,0.7203208748886566,0.0,0.0,0.25,0.5333333333333333,0.0,,,0.4603886607737575,0.47894511069826,0.0,0.0,0.0,0.19318181818181818,,0.6333938294010889,0.0,0.0,0.4773853782489269,0.5230100542115445,0.8888888888888888,,0.0,0.0,0.3729508196721312,0.0,0.0,0.2047054477595199,0.5811354972586378
4,007,1,100.0,1956.2883299269265,0.0,698.5753387175926,12.5,0.704225352112676,16.0,0.0,1.0,3.0,1.0,0.203689778216369,0.0,34.0,0.0,17.0,1055.0,1055.0,0.0,0.0,16.0,4.0,0.0,,,24117.0,16023.0,0.0,0.0,0.0,39.0,,1376.0,0.0,0.0,0.1215864789837751,138.0,18.0,,1467.0,1467.0,468.0,0.0,0.0,1.7005813953488371,0.1002906976744186,aram,0.0,1.0,0.752129849150978,0.0,0.5465241817057127,1.0,0.709380843451067,0.39473684210526316,0.0,1.0,0.0,1.0,0.6189102538950685,0.0,0.7837837837837838,0.0,0.025362318840579712,0.27160061579969,0.27160061579969,0.0,0.0,0.75,0.13333333333333333,0.0,,,0.7502655447564368,0.7986646463025484,0.0,0.0,0.0,0.4090909090909091,,0.79491833030853,0.0,0.0,0.1652219709833117,0.24359372387934944,1.0,,0.7772679587576429,0.2827273642108396,0.9590163934426229,0.0,0.0,0.3804030438608894,0.1628231387670896
5,00MFSS00,1,0.0,1728.1264696544615,0.0,661.0333059851939,3.2222222222222223,0.8529411764705882,21.0,0.0,0.0,25.0,0.0,0.2285071448039079,0.0,23.0,0.0,20.0,162.0,162.0,0.0,0.0,6.0,9.0,0.0,,,12842.0,10382.0,0.0,0.0,0.0,36.0,,941.0,0.0,1.0,0.2890495329197323,186.0,14.0,,551.0,551.0999755859375,154.0,0.0,0.0,2.2954303931987248,0.1976620616365568,aram,0.0,0.0,0.643311241313355,0.0,0.4159649958821124,0.33816425120772947,1.0,0.5263157894736842,0.0,0.0,0.14189189189189189,0.0,0.7244069773266816,0.0,0.4864864864864865,0.0,0.030797101449275364,0.04170549740241686,0.04170549740241686,0.0,0.0,0.25,0.4666666666666667,0.0,,,0.28408926934569523,0.3634479715091626,0.0,0.0,0.0,0.375,,0.40018148820326677,0.0,0.5,0.9115575710484825,0.35822606452845507,0.5555555555555556,,0.2919390901673219,0.10621066360877313,0.3155737704918033,0.0,0.0,0.5299405349908556,0.5246761566495324
6,0Discordia88,1,100.0,2015.9157845617792,1.0,740.7357558525425,4.727272727272728,0.8666666666666667,12.0,0.0,0.0,30.0,0.0,0.2462254148821181,0.0,37.0,0.0,147.0,2608.0,2608.0,0.0,0.0,15.0,11.0,0.0,,,18361.0,12719.0,0.0,0.0,0.0,36.0,,1030.0,0.0,1.0,0.1662037598733135,212.0,18.0,,2018.0,5150.82177734375,163.0,0.0,0.0,2.0970873786407767,0.2058252427184466,aram,0.0,1.0,0.7805683295986618,0.05555555555555555,0.6931446317585447,0.5671936758893282,1.0,0.2894736842105263,0.0,0.0,0.17567567567567569,0.0,0.7997259855515961,0.0,0.8648648648648649,0.0,0.2608695652173913,0.6714070199105133,0.6714070199105133,0.0,0.0,0.7,0.6,0.0,,,0.5122779047330019,0.5437531246721022,0.0,0.0,0.0,0.375,,0.4809437386569873,0.0,0.5,0.36406860803738467,0.42031858238005393,1.0,,1.0,0.992691386931282,0.33401639344262296,0.0,0.0,0.4800796175355745,0.5550123005609113
7,0Maqix0,1,0.0,1256.765979034269,0.0,588.8852996720086,3.571428571428572,0.5555555555555556,5.0,0.0,0.0,37.0,0.0,0.0984366676496198,0.0,42.0,2.0,53.0,604.0,604.0,0.0,3.0,8.0,14.0,0.0,,,28715.0,15304.0,0.0,0.0,0.0,13.0,,1559.0,0.0,0.0,0.2336002626028979,419.0,18.0,,493.0,493.4292602539063,326.0,0.0,0.0,0.5003207184092366,0.2687620269403464,aram,0.0,0.0,0.41850244847788415,0.0,0.16505729916284598,0.3913043478260871,0.40495789320684983,0.10526315789473684,0.0,0.0,0.22297297297297297,0.0,0.17148734717326117,0.0,1.0,1.0,0.09057971014492754,0.15549457056209742,0.15549457056209742,0.0,1.0,0.35,0.8,0.0,,,0.940374503899549,0.7431920724368429,0.0,0.0,0.0,0.11363636363636363,,0.9609800362976406,0.0,0.0,0.664435812174332,0.914670551429322,1.0,,0.26120865962339324,0.0950960832829525,0.6680327868852459,0.0,0.0,0.07867273754742715,0.7888989832550751
8,0kax,1,0.0,455.8410089387805,10.0,696.5093398339515,1.2,0.4,11.0,0.0,0.0,79.0,0.0,0.139876403466875,0.0,3.0,0.0,17.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,,,6494.0,5974.0,0.0,0.0,0.0,11.0,,514.0,0.0,0.0,0.1645185398302088,72.0,10.0,,0.0,0.0,33.0,0.0,0.0,1.284046692607004,0.1400778210116731,aram,0.0,0.0,0.03651248694749544,0.5555555555555556,0.5393392981890599,0.030434782608695646,0.08643535368816353,0.2631578947368421,0.0,0.0,0.5067567567567568,0.0,0.34764448830954864,0.0,0.0,0.0,0.025362318840579712,0.0,0.0,0.0,0.0,0.1,0.2,0.0,,,0.02162479073750122,0.023360202941666595,0.0,0.0,0.0,0.09090909090909091,,0.012704174228675136,0.0,0.0,0.3565580576052076,0.08597425548682922,0.1111111111111111,,0.0,0.0,0.06762295081967214,0.0,0.0,0.27569150422356714,0.31068068195652937
9,0sk0,1,0.0,1197.9183707959169,1.0,686.4257057126457,4.428571428571429,0.6326530612244898,31.0,0.0,0.0,52.0,1.0,0.1901818933123259,0.0,20.0,0.0,518.0,394.0,394.0,0.0,0.0,11.0,7.0,0.0,,,16442.0,12704.0,0.0,0.0,0.0,54.0,,1110.0,0.0,0.0,0.122179705993848,198.0,16.0,,0.0,0.0,197.0,0.0,0.0,2.918918918918919,0.1783783783783784,aram,0.0,0.0,0.3904359048608915,0.05555555555555555,0.5042716429450057,0.5217391304347827,0.5628262072540122,0.7894736842105263,0.0,0.0,0.32432432432432434,1.0,0.5614892703736573,0.0,0.40540540540540543,0.0,0.9329710144927537,0.10143188874414964,0.10143188874414964,0.0,0.0,0.5,0.3333333333333333,0.0,,,0.4329349093881493,0.5425958387082837,0.0,0.0,0.0,0.5795454545454546,,0.5535390199637024,0.0,0.0,0.1678658164532919,0.3868841496907315,0.7777777777777778,,0.0,0.0,0.4036885245901639,0.0,0.0,0.6866776400738626,0.4530138249441425
